Object_ID,Year,Event_Count,Neighbourhood
225,2015,1296,York University Heights (027)
226,2015,113,Lawrence Park North (105)
227,2015,1729,Bathurst Manor (034)
228,2015,117,St.Andrew-Windfields (040)
229,2015,1563,Clanton Park (033)
230,2015,2429,Yorkdale-Glen Park (031)
231,2015,2527,Newtonbrook West (036)
232,2015,59,NSA (NSA)
233,2015,20,Bridle Path-Sunnybrook-York Mills (041)
234,2015,1,Lawrence Park South (103)
235,2015,992,Lawrence Park North (105)
236,2015,218,NSA (NSA)
237,2015,528,NSA (NSA)
238,2015,1383,Englemount-Lawrence (032)
239,2015,1,Stonegate-Queensway (016)
240,2015,1911,Newtonbrook East (050)
241,2015,1942,Willowdale West (037)
242,2015,1503,Lansing-Westgate (038)
243,2015,1,East L'Amoreaux (148)
244,2015,896,St.Andrew-Windfields (040)
245,2015,379,Bridle Path-Sunnybrook-York Mills (041)
246,2015,20,Yorkdale-Glen Park (031)
247,2015,662,Avondale (153)
248,2015,13,Henry Farm (053)
249,2015,27,NSA (NSA)
250,2015,667,Wexford/Maryvale (119)
251,2015,75,Cliffcrest (123)
252,2015,1,Scarborough Village (139)
253,2015,1,Morningside (135)
254,2015,4618,Wexford/Maryvale (119)
255,2015,2390,Ionview (125)
256,2015,2770,Birchcliffe-Cliffside (122)
257,2015,1822,Malvern West (145)
258,2015,2997,Agincourt South-Malvern West (128)
259,2015,2535,Morningside Heights (144)
260,2015,158,NSA (NSA)
261,2015,2216,Tam O'Shanter-Sullivan (118)
262,2015,2314,Malvern East (146)
263,2015,5,Centennial Scarborough (133)
264,2015,16,Morningside Heights (144)
265,2015,1488,East L'Amoreaux (148)
266,2015,23,Centennial Scarborough (133)
267,2015,1,Bendale-Glen Andrew (156)
268,2015,981,West Rouge (143)
269,2015,1758,Agincourt North (129)
270,2015,38,Malvern East (146)
271,2015,921,Steeles (116)
272,2015,1352,L'Amoreaux West (147)
273,2015,1986,Milliken (130)
274,2015,10,West Rouge (143)
275,2015,525,NSA (NSA)
276,2015,18,Agincourt South-Malvern West (128)
277,2015,1,West Hill (136)
278,2015,1,Woburn North (142)
279,2015,1,Morningside (135)
280,2015,1009,Centennial Scarborough (133)
281,2015,1354,Cliffcrest (123)
282,2015,3222,Woburn North (142)
283,2015,1356,Highland Creek (134)
284,2015,519,Bendale South (157)
285,2015,2098,Bendale-Glen Andrew (156)
286,2015,2,Eglinton East (138)
287,2015,797,Guildwood (140)
288,2015,6,NSA (NSA)
289,2015,5829,West Hill (136)
290,2015,2736,Scarborough Village (139)
291,2015,1,The Beaches (063)
292,2015,2951,Golfdale-Cedarbrae-Woburn (141)
293,2015,1776,Eglinton East (138)
294,2015,2174,Morningside (135)
295,2015,1,Bendale South (157)
296,2015,625,West Rouge (143)
297,2015,1,Ionview (125)
298,2015,10300,Moss Park (073)
299,2015,1,St Lawrence-East Bayfront-The Islands (166)
300,2015,5603,Church-Wellesley (167)
301,2015,1539,South Eglinton-Davisville (174)
302,2015,546,Bridle Path-Sunnybrook-York Mills (041)
303,2015,37,Forest Hill North (102)
304,2015,2313,Yonge-Eglinton (100)
305,2015,2001,Thorncliffe Park (055)
306,2015,12,NSA (NSA)
307,2015,3570,Rosedale-Moore Park (098)
308,2015,1313,Mount Pleasant East (099)
309,2015,293,Forest Hill South (101)
310,2015,1,Woodbine-Lumsden (060)
311,2015,1,Junction Area (090)
312,2015,1093,Lawrence Park South (103)
313,2015,1,Broadview North (057)
314,2015,5,Playter Estates-Danforth (067)
315,2015,1,Downsview (155)
316,2015,1,Don Valley Village (047)
317,2015,1563,Leaside-Bennington (056)
318,2015,284,Bedford Park-Nortown (039)
319,2015,1,Annex (095)
320,2015,1437,North Toronto (173)
321,2015,3808,Annex (095)
322,2015,1,Cabbagetown-South St.James Town (071)
323,2015,936,Woodbine-Lumsden (060)
324,2015,1803,Broadview North (057)
325,2015,143,Clairlea-Birchmount (120)
326,2015,1,Little Portugal (084)
327,2015,1,St Lawrence-East Bayfront-The Islands (166)
328,2015,1960,North Riverdale (068)
329,2015,1206,Blake-Jones (069)
330,2015,1,Humber Bay Shores (161)
331,2015,2387,Danforth (066)
332,2015,74,Banbury-Don Mills (042)
333,2015,1,South Parkdale (085)
334,2015,1,Leaside-Bennington (056)
335,2015,18,Birchcliffe-Cliffside (122)
336,2015,1,Wexford/Maryvale (119)
337,2015,2758,The Beaches (063)
338,2015,1,St.Andrew-Windfields (040)
339,2015,1486,Danforth East York (059)
340,2015,900,Victoria Village (043)
341,2015,2351,Flemingdon Park (044)
342,2015,1,Parkwoods-O'Connor Hills (149)
343,2015,1,Leaside-Bennington (056)
344,2015,2261,Greenwood-Coxwell (065)
345,2015,1,Downtown Yonge East (168)
346,2015,2211,Playter Estates-Danforth (067)
347,2015,2,Banbury-Don Mills (042)
348,2015,1,Regent Park (072)
349,2015,1,Casa Loma (096)
350,2015,5546,South Riverdale (070)
351,2015,60,Annex (095)
352,2015,1,Wychwood (094)
353,2015,1,High Park North (088)
354,2015,64,Humber Heights-Westmount (008)
355,2015,1577,Eringate-Centennial-West Deane (011)
356,2015,2310,New Toronto (018)
357,2015,1,South Parkdale (085)
358,2015,1,Junction-Wallace Emerson (171)
359,2015,1431,Long Branch (019)
360,2015,1390,Alderwood (020)
361,2015,1073,Etobicoke West Mall (013)
362,2015,839,Princess-Rosethorn (010)
363,2015,5122,Etobicoke City Centre (159)
364,2015,1,Lambton Baby Point (114)
365,2015,3244,Stonegate-Queensway (016)
366,2015,1310,Kingsway South (015)
367,2015,29,NSA (NSA)
368,2015,1043,Edenbridge-Humber Valley (009)
369,2015,46,Humber Heights-Westmount (008)
370,2015,2062,Humber Bay Shores (161)
371,2015,286,Willowridge-Martingrove-Richview (007)
372,2015,6,Eringate-Centennial-West Deane (011)
373,2015,3097,Mimico-Queensway (160)
374,2015,734,Markland Wood (012)
375,2015,2253,Islington (158)
376,2015,94,Humber Summit (021)
377,2015,2,Pelmo Park-Humberlea (023)
378,2015,1010,Humber Heights-Westmount (008)
379,2015,130,NSA (NSA)
380,2015,50,Eringate-Centennial-West Deane (011)
381,2015,2,Humber Heights-Westmount (008)
382,2015,1246,Thistletown-Beaumond Heights (003)
383,2015,4705,Mount Olive-Silverstone-Jamestown (002)
384,2015,1420,Rexdale-Kipling (004)
385,2015,1265,Elms-Old Rexdale (005)
386,2015,56,NSA (NSA)
387,2015,1,Clanton Park (033)
388,2015,1678,Willowridge-Martingrove-Richview (007)
389,2015,111,Edenbridge-Humber Valley (009)
390,2015,2631,Kingsview Village-The Westway (006)
391,2015,7123,West Humber-Clairville (001)
392,2015,1,Etobicoke City Centre (159)
393,2015,601,Pelmo Park-Humberlea (023)
394,2015,2390,Humber Summit (021)
395,2015,1,Downsview (155)
396,2015,1,West Humber-Clairville (001)
397,2015,4153,Black Creek (024)
398,2015,3609,Oakdale-Beverley Heights (154)
399,2015,1416,Downsview (155)
400,2015,4942,York University Heights (027)
401,2016,1,Tam O'Shanter-Sullivan (118)
402,2016,3119,Kennedy Park (124)
403,2016,3579,Clairlea-Birchmount (120)
404,2016,17,Tam O'Shanter-Sullivan (118)
405,2016,1,Eglinton East (138)
406,2016,1506,East L'Amoreaux (148)
407,2016,142,NSA (NSA)
408,2016,1,Milliken (130)
409,2016,3020,Agincourt South-Malvern West (128)
410,2016,2266,Tam O'Shanter-Sullivan (118)
411,2016,2625,Morningside Heights (144)
412,2016,889,Steeles (116)
413,2016,2,Woburn North (142)
414,2016,1888,Milliken (130)
415,2016,12,West Rouge (143)
416,2016,1682,Malvern West (145)
417,2016,15,Centennial Scarborough (133)
418,2016,20,Agincourt South-Malvern West (128)
419,2016,1006,West Rouge (143)
420,2016,36,Malvern East (146)
421,2016,1662,Agincourt North (129)
422,2016,1370,L'Amoreaux West (147)
423,2016,16,Morningside Heights (144)
424,2016,21,Centennial Scarborough (133)
425,2016,2595,Malvern East (146)
426,2016,507,NSA (NSA)
427,2016,1,Ionview (125)
428,2016,1,Dorset Park (126)
429,2016,6235,West Hill (136)
430,2016,1,Wexford/Maryvale (119)
431,2016,1252,Highland Creek (134)
432,2016,1867,Eglinton East (138)
433,2016,811,Guildwood (140)
434,2016,511,Bendale South (157)
435,2016,2772,Scarborough Village (139)
436,2016,3218,Woburn North (142)
437,2016,12,NSA (NSA)
438,2016,2220,Morningside (135)
439,2016,1316,Cliffcrest (123)
440,2016,654,West Rouge (143)
441,2016,2040,Bendale-Glen Andrew (156)
442,2016,1,The Beaches (063)
443,2016,3088,Golfdale-Cedarbrae-Woburn (141)
444,2016,900,Centennial Scarborough (133)
445,2016,1,Malvern East (146)
446,2016,1,Eglinton East (138)
447,2016,1,Cliffcrest (123)
448,2016,2,Morningside Heights (144)
449,2016,1,Bridle Path-Sunnybrook-York Mills (041)
450,2016,4,Yonge-Bay Corridor (170)
451,2016,43,Forest Hill North (102)
452,2015,1,Yonge-Bay Corridor (170)
453,2016,174,Bedford Park-Nortown (039)
454,2015,1,Morningside (135)
455,2016,2174,Briar Hill-Belgravia (108)
456,2015,10,Oakridge (121)
457,2016,55,Casa Loma (096)
458,2015,1994,Taylor-Massey (061)
459,2016,1574,Yorkdale-Glen Park (031)
460,2015,1,Malvern East (146)
461,2016,1094,Casa Loma (096)
462,2015,2209,Old East York (058)
463,2016,1,South Riverdale (070)
464,2015,27,NSA (NSA)
465,2016,1160,Caledonia-Fairbank (109)
466,2015,3366,O'Connor-Parkview (054)
467,2016,2,Casa Loma (096)
468,2015,7,Victoria Village (043)
469,2016,1,Annex (095)
470,2015,1,Church-Wellesley (167)
471,2016,1,Weston-Pelham Park (091)
472,2015,3,Thorncliffe Park (055)
473,2016,3,Wychwood (094)
474,2015,3595,East End-Danforth (062)
475,2016,912,Forest Hill North (102)
476,2015,2251,Woodbine Corridor (064)
477,2016,3116,West Queen West (162)
478,2015,1,Leaside-Bennington (056)
479,2016,1,High Park-Swansea (087)
480,2015,1,Roncesvalles (086)
481,2016,515,Wellington Place (164)
482,2015,1,St.Andrew-Windfields (040)
483,2016,2749,Fort York-Liberty Village (163)
484,2015,6,NSA (NSA)
485,2016,216,Roncesvalles (086)
486,2015,1,Banbury-Don Mills (042)
487,2016,1,Moss Park (073)
488,2015,1,Danforth (066)
489,2016,1,Briar Hill-Belgravia (108)
490,2015,1,Fort York-Liberty Village (163)
491,2016,721,Harbourfront-CityPlace (165)
492,2016,1,Little Portugal (084)
493,2016,1,Dufferin Grove (083)
494,2016,1,Casa Loma (096)
495,2016,4411,Kensington-Chinatown (078)
496,2016,1514,Harbourfront-CityPlace (165)
497,2016,1683,University (079)
498,2016,2324,Dovercourt Village (172)
499,2016,1,South Riverdale (070)
500,2016,1,Downtown Yonge East (168)
501,2016,2579,Wellington Place (164)
502,2016,2186,Palmerston-Little Italy (080)
503,2016,44,St Lawrence-East Bayfront-The Islands (166)
504,2016,23,NSA (NSA)
505,2016,1,Danforth East York (059)
506,2016,694,Kensington-Chinatown (078)
507,2016,1,Junction-Wallace Emerson (171)
508,2016,354,University (079)
509,2016,606,Dufferin Grove (083)
510,2016,64,Annex (095)
511,2016,2723,Annex (095)
512,2016,1,St Lawrence-East Bayfront-The Islands (166)
513,2016,3895,Trinity-Bellwoods (081)
514,2016,147,Annex (095)
515,2016,1869,Little Portugal (084)
516,2016,5845,South Parkdale (085)
517,2016,2146,Islington (158)
518,2016,1,South Parkdale (085)
519,2016,1,St Lawrence-East Bayfront-The Islands (166)
520,2016,1145,Edenbridge-Humber Valley (009)
521,2015,5,St Lawrence-East Bayfront-The Islands (166)
522,2015,1,Brookhaven-Amesbury (030)
523,2015,2,NSA (NSA)
524,2015,1762,NSA (NSA)
525,2015,17,NSA (NSA)
526,2015,15,NSA (NSA)
527,2015,1,NSA (NSA)
528,2015,1,Mount Olive-Silverstone-Jamestown (002)
529,2015,1,Black Creek (024)
530,2015,1,Wexford/Maryvale (119)
531,2015,20,West Humber-Clairville (001)
532,2015,1,South Riverdale (070)
533,2015,1,Church-Wellesley (167)
534,2015,2,Harbourfront-CityPlace (165)
535,2015,1,Cliffcrest (123)
536,2015,1,North St.James Town (074)
537,2016,1,Rexdale-Kipling (004)
538,2016,3250,Junction-Wallace Emerson (171)
539,2016,1,Annex (095)
540,2016,73,Dufferin Grove (083)
541,2016,515,Roncesvalles (086)
542,2016,583,Little Portugal (084)
543,2016,1,Caledonia-Fairbank (109)
544,2016,660,Lambton Baby Point (114)
545,2016,1,Humber Bay Shores (161)
546,2016,777,South Parkdale (085)
547,2016,1,Downtown Yonge East (168)
548,2016,1300,Runnymede-Bloor West Village (089)
549,2016,1,Briar Hill-Belgravia (108)
550,2016,15,NSA (NSA)
551,2016,2261,New Toronto (018)
552,2016,1570,Long Branch (019)
553,2016,823,Princess-Rosethorn (010)
554,2016,25,NSA (NSA)
555,2016,1387,Alderwood (020)
556,2016,1,Lawrence Park South (103)
557,2016,55,Humber Heights-Westmount (008)
558,2016,1,Runnymede-Bloor West Village (089)
559,2016,2090,Humber Bay Shores (161)
560,2016,3,Eringate-Centennial-West Deane (011)
561,2016,1,Dovercourt Village (172)
562,2016,985,Etobicoke West Mall (013)
563,2016,70,Humber Heights-Westmount (008)
564,2016,1,High Park-Swansea (087)
565,2016,784,Markland Wood (012)
566,2016,3113,Mimico-Queensway (160)
567,2016,5225,Etobicoke City Centre (159)
568,2016,3018,Stonegate-Queensway (016)
569,2016,205,Willowridge-Martingrove-Richview (007)
570,2016,1171,Kingsway South (015)
571,2016,3,High Park North (088)
572,2016,1470,Eringate-Centennial-West Deane (011)
573,2016,3,Willowridge-Martingrove-Richview (007)
574,2016,1,Stonegate-Queensway (016)
575,2016,54,Eringate-Centennial-West Deane (011)
576,2016,87,NSA (NSA)
577,2016,1,Weston-Pelham Park (091)
578,2016,1,Victoria Village (043)
579,2016,2655,Kingsview Village-The Westway (006)
580,2016,1,Weston (113)
581,2016,3,Pelmo Park-Humberlea (023)
582,2016,82,Humber Summit (021)
583,2016,1845,Willowridge-Martingrove-Richview (007)
584,2016,7668,West Humber-Clairville (001)
585,2016,1542,Rexdale-Kipling (004)
586,2016,1312,Elms-Old Rexdale (005)
587,2016,4861,Mount Olive-Silverstone-Jamestown (002)
588,2016,60,NSA (NSA)
589,2016,1,Rockcliffe-Smythe (111)
590,2016,945,Humber Heights-Westmount (008)
591,2016,91,Edenbridge-Humber Valley (009)
592,2016,1319,Thistletown-Beaumond Heights (003)
593,2016,3,Downsview (155)
594,2016,4749,Black Creek (024)
595,2016,2455,Humber Summit (021)
596,2016,107,NSA (NSA)
597,2016,1,Mount Olive-Silverstone-Jamestown (002)
598,2016,391,NSA (NSA)
599,2016,1,Rockcliffe-Smythe (111)
600,2016,5137,York University Heights (027)
601,2016,30,Victoria Village (043)
602,2016,1,Flemingdon Park (044)
603,2016,38,Steeles (116)
604,2016,1,Clairlea-Birchmount (120)
605,2016,2716,Don Valley Village (047)
606,2016,1190,Henry Farm (053)
607,2016,35,Tam O'Shanter-Sullivan (118)
608,2016,216,NSA (NSA)
609,2016,1,Bay-Cloverhill (169)
610,2016,638,Bayview Woods-Steeles (049)
611,2016,1502,Hillcrest Village (048)
612,2016,1284,St.Andrew-Windfields (040)
613,2016,16,NSA (NSA)
614,2016,3734,Banbury-Don Mills (042)
615,2016,1917,Bayview Village (052)
616,2016,1,Annex (095)
617,2016,1,Moss Park (073)
618,2016,731,Banbury-Don Mills (042)
619,2016,989,Victoria Village (043)
620,2016,29,NSA (NSA)
621,2016,1,Briar Hill-Belgravia (108)
622,2016,210,Bridle Path-Sunnybrook-York Mills (041)
623,2016,1,East Willowdale (152)
624,2016,2306,Fenside-Parkwoods (150)
625,2016,1328,Parkwoods-O'Connor Hills (149)
626,2016,661,Wexford/Maryvale (119)
627,2016,18,Henry Farm (053)
628,2016,277,L'Amoreaux West (147)
629,2016,1,Leaside-Bennington (056)
630,2016,194,Bendale-Glen Andrew (156)
631,2016,1,Victoria Village (043)
632,2016,397,Bendale South (157)
633,2016,2,O'Connor-Parkview (054)
634,2016,1,Golfdale-Cedarbrae-Woburn (141)
635,2016,2,NSA (NSA)
636,2016,15,Bendale South (157)
637,2016,1057,Eglinton East (138)
638,2016,2385,Ionview (125)
639,2016,2921,Birchcliffe-Cliffside (122)
640,2016,162,Eglinton East (138)
641,2016,1,Victoria Village (043)
642,2016,3138,Dorset Park (126)
643,2016,65,Cliffcrest (123)
644,2016,1,East L'Amoreaux (148)
645,2016,1,Woodbine-Lumsden (060)
646,2016,4716,Wexford/Maryvale (119)
647,2016,2712,Oakridge (121)
648,2016,1135,Bendale-Glen Andrew (156)
649,2016,31,Agincourt South-Malvern West (128)
650,2016,825,Cliffcrest (123)
651,2016,285,South Riverdale (070)
652,2016,1,Playter Estates-Danforth (067)
653,2016,3123,St Lawrence-East Bayfront-The Islands (166)
654,2016,1,Harbourfront-CityPlace (165)
655,2016,1,Bay-Cloverhill (169)
656,2016,11232,Moss Park (073)
657,2016,2,North Riverdale (068)
658,2016,1,Leaside-Bennington (056)
659,2016,241,Rosedale-Moore Park (098)
660,2016,10,NSA (NSA)
661,2016,219,Downtown Yonge East (168)
662,2016,3495,North St.James Town (074)
663,2016,1,Rockcliffe-Smythe (111)
664,2016,6656,Church-Wellesley (167)
665,2016,26,Rosedale-Moore Park (098)
666,2016,2551,Regent Park (072)
667,2016,8575,Downtown Yonge East (168)
668,2016,81,South Riverdale (070)
669,2016,1,Flemingdon Park (044)
670,2016,1,Yonge-Doris (151)
671,2016,3278,Cabbagetown-South St.James Town (071)
672,2016,2,Annex (095)
673,2016,1,Corso Italia-Davenport (092)
674,2016,1,Danforth East York (059)
675,2016,258,Downtown Yonge East (168)
676,2016,213,Church-Wellesley (167)
677,2016,8,NSA (NSA)
678,2016,1,Cabbagetown-South St.James Town (071)
679,2016,313,Annex (095)
680,2016,1,Palmerston-Little Italy (080)
681,2016,1,Greenwood-Coxwell (065)
682,2016,199,Rosedale-Moore Park (098)
683,2016,9708,Yonge-Bay Corridor (170)
684,2016,2,Harbourfront-CityPlace (165)
685,2016,3568,Bay-Cloverhill (169)
686,2016,1,West Queen West (162)
687,2016,1,Annex (095)
688,2016,3,Rosedale-Moore Park (098)
689,2016,6,St Lawrence-East Bayfront-The Islands (166)
690,2016,1507,Harbourfront-CityPlace (165)
691,2016,763,Downtown Yonge East (168)
692,2016,1,Flemingdon Park (044)
693,2016,1,Kensington-Chinatown (078)
694,2016,1059,University (079)
695,2016,1650,St Lawrence-East Bayfront-The Islands (166)
696,2016,1,Mount Dennis (115)
697,2016,4113,Wellington Place (164)
698,2016,4265,Kensington-Chinatown (078)
699,2016,1,Bedford Park-Nortown (039)
700,2016,3626,Rosedale-Moore Park (098)
701,2016,2849,High Park North (088)
702,2016,2922,Roncesvalles (086)
703,2016,2770,Junction Area (090)
704,2016,1512,Dufferin Grove (083)
705,2016,288,Dovercourt Village (172)
706,2016,1,Stonegate-Queensway (016)
